iter	Passed	Remaining
0	1	192
1	3	154
2	4	133
3	5	123
4	6	119
5	7	117
6	8	117
7	10	117
8	12	121
9	12	116
10	13	111
11	14	106
12	15	102
13	15	98
14	16	94
15	17	91
16	18	89
17	19	86
18	19	84
19	20	83
20	21	81
21	22	79
22	23	77
23	23	75
24	24	73
25	25	71
26	25	69
27	26	69
28	28	68
29	28	67
30	29	66
31	30	64
32	31	63
33	31	61
34	32	60
35	33	59
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	50
43	38	49
44	39	48
45	40	47
46	40	46
47	42	45
48	43	44
49	43	43
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	61	25
71	63	24
72	65	24
73	68	23
74	69	23
75	71	22
76	74	22
77	76	21
78	77	20
79	79	19
80	81	19
81	83	18
82	84	17
83	87	16
84	88	15
85	90	14
86	91	13
87	92	12
88	93	11
89	95	10
90	96	9
91	97	8
92	99	7
93	101	6
94	103	5
95	104	4
96	106	3
97	107	2
98	108	1
99	110	0
