iter	Passed	Remaining
0	2	2808
1	4	2135
2	5	1945
3	10	2607
4	11	2324
5	12	2102
6	13	1927
7	14	1821
8	16	1772
9	17	1697
10	18	1658
11	19	1623
12	21	1631
13	23	1686
14	26	1744
15	28	1729
16	30	1735
17	32	1771
18	33	1722
19	34	1682
20	36	1703
21	39	1756
22	40	1729
23	41	1698
24	42	1668
25	43	1634
26	44	1605
27	45	1587
28	46	1560
29	47	1532
30	48	1505
31	49	1485
32	52	1543
33	54	1560
34	56	1555
35	57	1538
36	58	1518
37	59	1500
38	60	1482
39	60	1463
40	61	1446
41	62	1429
42	65	1454
43	69	1500
44	72	1544
45	73	1533
46	74	1520
47	76	1509
48	76	1494
49	78	1484
50	79	1473
51	81	1494
52	84	1514
53	86	1511
54	88	1514
55	89	1507
56	90	1496
57	91	1482
58	92	1474
59	93	1461
60	94	1458
61	97	1470
62	99	1474
63	100	1472
64	102	1471
65	103	1467
66	104	1460
67	105	1449
68	106	1439
69	107	1430
70	109	1435
71	112	1451
72	114	1448
73	115	1446
74	116	1442
75	117	1434
76	119	1429
77	120	1418
78	120	1408
79	121	1399
80	122	1393
81	126	1418
82	127	1407
83	129	1414
84	130	1409
85	132	1405
86	133	1403
87	134	1396
88	135	1387
89	136	1378
90	137	1369
91	137	1360
92	140	1374
93	143	1378
94	144	1378
95	145	1372
96	147	1369
97	148	1362
98	148	1353
99	149	1344
100	150	1336
101	150	1328
102	151	1320
103	152	1314
104	154	1316
105	156	1318
106	157	1318
107	160	1321
108	161	1322
109	162	1318
110	163	1310
111	164	1302
112	165	1295
113	165	1288
114	166	1280
115	167	1276
116	168	1269
117	170	1274
118	172	1274
119	173	1272
120	175	1276
121	176	1273
122	178	1269
123	179	1265
124	180	1261
125	181	1256
126	181	1249
127	182	1244
128	186	1260
129	188	1263
130	190	1264
131	192	1263
132	193	1259
133	194	1254
134	195	1250
135	196	1245
136	196	1240
137	197	1235
138	200	1240
139	203	1249
140	205	1250
141	206	1248
142	208	1247
143	209	1244
144	210	1239
145	211	1234
146	211	1228
147	212	1222
148	213	1217
